"uk	RT @FCShakhtar: 💬 «Показати"	 наскільки сильною є наша Україна» 🇺🇦  Тарас Степаненко – про благодійний тур «Шахтаря»	 збір національної кома…						
"uk	🇺🇦 «Хочемо порадувати нашу націю»  Валерій Бондар підбив підсумки благодійних матчів"	 розповів про бесіду команди з Роберто Де Дзербі та поділився думкою щодо цілей і завдань збірної України ⬇️  https://t.co/QQXmFIglgi  #Shakhtar #Україна #Ukraine #StandWithUkraine							
"ru	https://t.co/XIafilmMFh  Haval временно приостановит производство машин в России  #взаимно #взаимныйфолловинг #стопроссия #stoprussia #народна_війна #війна #нетвойне #NoWar #Новини #Новости #сми #Ukraine #россия #Украина #сша #политика"								
"uk	RT @mil_in_ua: 🇺🇦 NLAW та бронетехніка російських військових в Україні  YouTube: https://t.co/dR7NJCQz2q  #Україна #Ukraine https://t.co/sK…"								
"uk	RT @mil_in_ua: 🇺🇦 Фондову колекцію музею Києва поповнило хвостове оперення збитого російського штурмовика Су-25СМ  Частину літака ПКС Росії…"								
"ru	RT @S_vivat: Крылья ВСУ🇺🇦 уничтожают российских оккупантов. #Ukraine #UkraineRussianWar #UkraineWar #War https://t.co/RsGbQtCUAI"								
"uk	🕯Щоранку о 9:00 хвилиною мовчання вшановуємо пам'ять загиблих! via https://t.co/6nD9nsrQPu   #guerra #krieg #війни #война #guerre #ukraine #украина #ucrania #україна #Rusia #Росія #Россия #Russie #россия #русский #украинский #украина #война #вторжение https://t.co/qpBBd6SUVc"								
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"ru	Байден: Россия – агрессор и будет привлечена к ответу https://t.co/k1C9DBn76m #Russia #Ukraine"								
"ru	Новый стол Путина должен выглядеть как-то так #Ukraine #UkraineWar #Russia #StandWithUkraine️ #Беларусь https://t.co/6iXT7xpq28"								
"uk	RT @mil_in_ua: 🇺🇦 Українська артилерія завдає удари по російських військових.  YouTube: https://t.co/IFpJDP4xZj  #Україна #Ukraine https://…"								
